ZIP3,Lat,Lon
356,34.67768896,-87.23686269
357,34.72508697,-86.49936092
358,34.72759074,-86.60573215
359,34.19955081,-86.02329234
360,32.17601956,-86.12245978
361,32.37579631,-86.29243219
362,33.61636158,-85.78863892
363,31.30050563,-85.52091408
364,31.34653824,-86.95451176
365,30.76496287,-87.89512996
366,30.68758851,-88.08793195
367,32.36677635,-87.33822568
368,32.60137169,-85.35060091
369,32.23942059,-88.20716176
370,36.18684261,-86.86229019
371,36.03438466,-86.65937709
372,36.1509996,-86.77006301
373,35.23934523,-85.30571159
374,35.04427954,-85.28285217
376,36.40340963,-82.45638924
377,36.08263647,-83.86576203
378,36.00896,-83.80920272
379,35.95953956,-83.95787445
380,35.32547605,-89.66527763
381,35.12613147,-89.95737767
382,36.30005753,-88.77146027
383,35.6366772,-88.66090521
384,35.40914651,-87.17404884
385,36.1135733,-85.43378352
386,34.63221201,-89.75828539
387,33.57786094,-90.81078906
388,34.33971771,-88.6628559
389,33.7286777,-89.87988378
390,32.44781421,-90.03795526
391,32.22989195,-90.33702222
392,32.31139378,-90.18122044
393,32.39680253,-88.84609675
394,31.32761232,-89.30569804
395,30.45880962,-88.97295534
396,31.34079808,-90.53474679
397,33.54001564,-88.6337095
398,31.22755833,-84.63246806
400,38.14045983,-85.35047406
401,37.88070144,-86.12891007
402,38.23387429,-85.71533017
403,38.05054575,-84.30491134
404,37.61057519,-84.45767143
405,38.03993119,-84.49464505
406,38.20314857,-84.87596857
407,36.99477671,-84.11550137
408,36.97619206,-83.31494444
409,36.88862059,-83.75855735
410,38.88967421,-84.4601595
411,38.44128559,-82.87836486
412,37.8725093,-82.72363488
413,37.57174545,-83.47145
414,37.8657,-83.18136875
415,37.49099205,-82.42633864
416,37.53655694,-82.72551806
417,37.22130625,-83.20297375
418,37.18846981,-82.84871321
420,36.86878741,-88.57667832
421,36.96324041,-86.20962746
422,36.9071585,-87.1178585
423,37.56513315,-87.05103859
424,37.51378301,-87.66205229
425,37.14488689,-84.7034
426,36.8765575,-84.9619975
427,37.38956667,-85.78402679
430,40.09943092,-82.95510679
431,39.77307666,-82.97101136
432,39.9934046,-82.99688785
433,40.50281889,-83.39241613
434,41.41526328,-83.31105876
435,41.48068091,-84.08053819
436,41.64853082,-83.57440151
437,39.86437186,-81.70282412
438,40.22833099,-81.90157042
439,40.2544375,-80.85086875
440,41.52704885,-81.52019645
441,41.47630406,-81.66229582
442,41.12977559,-81.57693529
443,41.08042744,-81.52387515
444,41.12442833,-80.77224983
445,41.08623182,-80.67491818
446,40.71575628,-81.49987951
447,40.82424441,-81.38812524
448,41.07450245,-82.76786104
449,40.753431,-82.527088
450,39.36488847,-84.47358922
451,39.15722991,-83.99085179
452,39.15902359,-84.48673461
453,39.93731689,-84.26774327
454,39.74218095,-84.18725084
455,39.91378017,-83.81843554
456,38.93950923,-82.83995351
457,39.35670694,-81.78468382
458,40.80695055,-84.13205802
460,40.02654124,-86.03091353
461,39.66349433,-86.14894925
462,39.80133567,-86.16142314
463,41.50855327,-87.23224405
464,41.558338,-87.35222267
465,41.5127961,-86.01782439
466,41.66493261,-86.24517319
467,41.1628586,-85.21809355
468,41.08264353,-85.14805129
469,40.64010797,-86.04579124
470,39.17011121,-85.07709828
471,38.38712204,-85.93780806
472,39.08093621,-85.77911494
473,40.0869122,-85.25338244
474,39.09674727,-86.60703203
475,38.47295556,-87.07575661
476,38.1286406,-87.51540376
477,37.99666411,-87.57650706
478,39.46530401,-87.30900766
479,40.40483168,-86.98645217
480,42.57007715,-83.05080711
481,42.27868188,-83.45545606
482,42.39080819,-83.14199046
483,42.59929066,-83.29431018
484,43.10211958,-83.38314545
485,43.00540746,-83.67703582
486,43.64964447,-84.14587562
487,43.84348732,-83.59162254
488,42.95672422,-84.62907431
489,42.73830116,-84.55767188
490,42.23993449,-85.5542998
491,41.86845455,-86.37042
492,42.09958346,-84.37126272
493,43.18829061,-85.55302058
494,43.15831164,-86.10839498
495,42.95488849,-85.64635825
496,44.5309594,-85.58399612
497,45.42333491,-84.610288
498,46.07257957,-87.23539
499,46.64805574,-88.86409344
500,41.67731172,-93.84671925
501,41.66425118,-93.4293748
502,41.65332623,-93.6050963
503,41.59338091,-93.64707971
504,43.17819747,-93.27607004
505,42.70167205,-94.41332441
506,42.60650553,-92.4905383
507,42.5175396,-92.37885347
508,41.00143488,-94.56715233
510,42.59103571,-95.91842143
511,42.49654643,-96.39713929
512,43.25915733,-96.03725867
513,43.27961646,-95.18091519
514,42.11030273,-95.05680909
515,41.42927763,-95.57287443
516,40.75247333,-95.36260333
520,42.445925,-90.86635638
521,43.16045897,-91.75820085
522,41.80733463,-91.67518485
523,41.88915947,-91.72094229
524,41.9738024,-91.66650144
525,41.00415955,-92.42294494
526,40.84472133,-91.36219667
527,41.64590807,-90.79146149
528,41.53132764,-90.57668943
530,43.36106462,-88.16321031
531,42.82607134,-88.12311937
532,43.04897908,-87.96004034
534,42.71928417,-87.80395827
535,42.92479015,-89.49684039
537,43.06974898,-89.4000386
538,42.85851389,-90.71987778
539,43.5936372,-89.46369324
540,45.07963229,-92.48178542
541,44.72309698,-88.18881121
542,44.45921119,-87.58660448
543,44.508659,-88.01764895
544,44.83562986,-89.79630676
545,45.85441513,-89.76227566
546,43.84184413,-91.00697611
547,44.84951242,-91.55992418
548,45.95046207,-91.74922414
549,44.16485399,-88.5758577
550,44.95936257,-93.11103565
551,44.99963544,-93.20156376
553,44.99705593,-93.50644075
554,44.99277514,-93.30552658
556,47.44826333,-91.03148333
557,47.18549269,-92.79225662
558,46.77353571,-92.1470526
559,43.93159213,-92.35976827
560,44.03638991,-93.89814826
561,43.88213394,-95.67711719
562,45.01625744,-95.56569931
563,45.69376529,-94.47679609
564,46.50039171,-94.4740212
565,46.79292122,-96.17529714
566,47.74855649,-94.48148168
567,48.32176885,-96.40352213
570,43.43761278,-96.96780376
571,43.53984858,-96.73553239
572,44.98009662,-97.08865608
573,43.7873894,-98.39546093
574,45.39809926,-98.79335882
575,43.82773119,-100.4761202
576,45.57915231,-101.6688877
577,44.16856919,-103.2346313
580,46.685284,-97.24196857
581,46.87250303,-96.80434545
582,48.13842191,-97.47861404
583,48.3134622,-99.26710157
584,46.84600255,-98.90829554
585,46.85442287,-100.8647404
586,46.7520186,-102.9332953
587,48.34403608,-101.5909835
588,48.27443134,-103.5219209
590,45.81129932,-108.806123
591,45.79360313,-108.50275
592,48.1942,-105.1720441
593,46.34385859,-105.5833909
594,47.67447431,-111.225178
595,48.41191,-109.6148
596,46.58341183,-111.9747484
597,45.70692416,-111.8594651
598,46.95929275,-114.0943749
599,48.29306703,-114.4339319
600,42.12912375,-87.94723077
601,41.95731228,-88.06667305
602,42.04001579,-87.76560877
603,41.87542656,-87.78759688
604,41.60386455,-87.89844931
605,41.79998337,-88.04199057
606,41.88102002,-87.6647625
607,41.9802503,-87.80815917
608,41.7215963,-87.70084352
609,40.90529258,-87.92851528
610,42.18049113,-89.52168805
611,42.25718997,-89.06446021
612,41.4776728,-90.41095
613,41.32397091,-89.17817227
614,40.85782888,-90.3608213
615,40.69865023,-89.63962
616,40.70348989,-89.59435955
617,40.507425,-88.96924515
618,40.1160987,-88.13664375
619,39.61452295,-88.24764508
620,38.95123795,-90.03519406
622,38.5198849,-89.89322735
623,40.03945464,-91.05728402
624,39.0389,-88.21911324
625,39.7624424,-89.084536
626,39.83873131,-89.95216589
627,39.78802638,-89.63288383
628,38.32723605,-88.73359252
629,37.61908249,-88.99635017
630,38.58410509,-90.49530041
631,38.64277166,-90.32420032
633,38.83949227,-90.75571211
634,39.93342742,-91.77797823
635,40.15954867,-92.57150531
636,37.72302615,-90.59347077
637,37.33464326,-89.68450355
638,36.5521338,-89.78712887
639,36.82837115,-90.53986923
640,39.05893811,-94.33277014
641,39.08977733,-94.57005561
644,40.06071446,-94.66141968
645,39.74905909,-94.83797841
646,39.87953642,-93.57074383
647,38.15344,-94.21542651
648,37.0208908,-94.39958103
650,38.41843557,-92.30300619
651,38.54645179,-92.12924107
652,39.09371548,-92.37446706
653,38.74632963,-93.27199704
654,37.77124563,-91.7411466
655,37.66922182,-92.00520727
656,37.03758985,-93.23980149
657,37.10874423,-93.08477083
658,37.19763253,-93.29303116
660,38.93435708,-95.05452192
661,39.09528246,-94.65524408
662,38.98082601,-94.68716415
664,39.37605182,-96.07366496
665,39.29447701,-96.19764385
666,39.04398621,-95.68609808
667,37.56326989,-95.07840227
668,38.36596095,-96.43049429
669,39.77201287,-97.75138218
670,37.59632409,-97.443575
671,37.62302112,-97.6276087
672,37.6926305,-97.32417154
673,37.19971939,-95.75527959
674,38.93469421,-97.65358684
675,38.1793866,-98.4829823
676,39.33143438,-99.43567031
677,39.36629756,-101.0279646
678,37.82998898,-100.6836017
679,37.12884828,-101.2190345
680,41.39117573,-96.32725485
681,41.25543097,-96.0148332
683,40.47496834,-96.82916935
684,40.6017,-96.68741951
685,40.81582158,-96.70436163
686,41.5005344,-97.5927936
687,42.36023158,-97.61885921
688,41.06798259,-98.76814656
689,40.35996115,-98.79642038
690,40.32746812,-100.7597536
691,41.24710388,-101.5749008
692,42.75548148,-100.4617037
693,42.15680674,-103.1480034
700,29.96314922,-90.18343295
701,29.95773556,-90.09428301
703,29.6544694,-90.78519515
704,30.46924441,-90.16741425
705,30.22190203,-92.06806526
706,30.28908022,-93.21021007
707,30.469215,-91.1198175
708,30.43964144,-91.14024128
710,32.51976643,-93.51416713
711,32.49215934,-93.75517115
712,32.50336772,-92.12872478
713,31.30279009,-92.192325
714,31.50592664,-92.90189813
716,33.91564425,-91.88527011
717,33.40536423,-92.8330065
718,33.70083978,-93.80333871
719,34.43043724,-93.27812138
720,34.92168981,-92.13874268
721,34.87790878,-92.21957492
722,34.74922706,-92.32192202
723,35.16979588,-90.48070118
724,35.98272056,-90.70202897
725,35.95783008,-91.82066617
726,36.16061831,-92.89733662
727,36.16831872,-94.16100723
728,35.27096269,-93.21578209
729,35.35644834,-94.32300199
730,35.37892117,-97.62321982
731,35.47427621,-97.52646351
734,34.20914796,-97.04020816
735,34.56849316,-98.60170316
736,35.41385357,-99.24175833
737,36.42616744,-98.05841337
738,36.47882708,-99.46943333
739,36.747908,-101.4293027
740,36.23818071,-96.18726677
741,36.13137841,-95.95476784
743,36.56571731,-95.05911154
744,35.67283571,-95.44417857
745,34.73790968,-95.7887871
746,36.67899857,-97.13105429
747,34.08351935,-95.73511505
748,35.15608296,-96.73038519
749,35.32079872,-94.79955256
750,32.89781244,-96.87761404
751,32.63336495,-96.65381683
752,32.82099012,-96.83829993
753,32.79578846,-96.85172308
754,33.24377302,-95.89563683
755,33.32397255,-94.23788333
756,32.48680761,-94.73801995
